,name,gene_reaction_rule,subunit_num,subunit_mw
AGM4PApp_num4,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b0867,1 ,31.07245
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,b0110,1,20.53617
RNDR3b_num1,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 2 and 2 and 1 ),( 36.44324 and 80.47901 and 24.35021 )
RNDR3b_num2,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 1 and 2 and 2 ),9.68485 and 36.44324 and 80.47901
RNDR3b_num3,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ),36.44324 and 80.47901 and 9.13749
RNDR3b_num4,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ) ,36.44324 and 80.47901 and 12.87876
RNDR4b_num1,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ),( 36.44324 and 80.47901 and 12.87876 )
RNDR4b_num2,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 1 and 2 and 2 ),9.68485 and 36.44324 and 80.47901
RNDR4b_num3,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ),36.44324 and 80.47901 and 9.13749
RNDR4b_num4,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 2 and 2 and 1 ) ,36.44324 and 80.47901 and 24.35021
ACGAL1Ptex_num1,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACGAL1Ptex_num2,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACGAL1Ptex_num3,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACGAL1Ptex_num4,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACGALtex_num1,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACGALtex_num2,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACGALtex_num3,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACGALtex_num4,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GLCUR1Ptex_num1,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLCUR1Ptex_num2,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GLCUR1Ptex_num3,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLCUR1Ptex_num4,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UDPGLCURtex_num1,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
UDPGLCURtex_num2,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b0241,3,38.922
UDPGLCURtex_num3,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
UDPGLCURtex_num4,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UDPGALPpp,UDPgalactose pyrophosphohydrolase,b0480,1,60.82397
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm),b0480,1,60.82397
UACGALPpp,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm),b0480,1,60.82397
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase (periplasm),b0480,1,60.82397
FEROpp_num1,Ferroxidase,b0123,1,56.55615
FEROpp_num2,Ferroxidase,b3336,24 ,18.49503
ISETACabcpp_num1,Isethionate transport via ABC system (periplasm),( b0366 and b0365 and b0367 ),( 2 and 1 and 2 ),( 28.29675 and 34.26612 and 29.81193 )
ISETACabcpp_num2,Isethionate transport via ABC system (periplasm),( b0934 and b0933 and b0936 ),( 2 and 2 and 1 ) ,28.92546 and 27.73811 and 34.55775
ISETACtex_num1,Isethionate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ISETACtex_num2,Isethionate transport via diffusion (extracellular to periplasm),b0241,3,38.922
ISETACtex_num3,Isethionate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ISETACtex_num4,Isethionate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UDPGtex_num1,UDPglucose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
UDPGtex_num2,UDPglucose transport via diffusion (extracellular to periplasm),b0241,3,38.922
UDPGtex_num3,UDPglucose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
UDPGtex_num4,UDPglucose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UDPGALtex_num1,UDPgalactose transport via diffusion (extracellular to periplasm),b2215,3,40.36812
UDPGALtex_num2,UDPgalactose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
UDPGALtex_num3,UDPgalactose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
UDPGALtex_num4,UDPgalactose transport via diffusion (extracellular to periplasm),b0241,3 ,38.922
ACGAM1Ptex_num1,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACGAM1Ptex_num2,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACGAM1Ptex_num3,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACGAM1Ptex_num4,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UACGAMtex_num1,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
UACGAMtex_num2,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
UACGAMtex_num3,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
UACGAMtex_num4,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
UDPACGALtex_num1,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
UDPACGALtex_num2,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
UDPACGALtex_num3,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
UDPACGALtex_num4,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",b1192,1,33.56747
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,b0110,1,20.53617
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",b1192,1,33.56747
CBLAT,Cob(I)alamin adenosyltransferase,b1270,1,21.99889
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),b0936 and b0933 and b0934,1 and 2 and 2 ,34.55775 and 27.73811 and 28.92546
MSO3tex_num1,Methanesulfonate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
MSO3tex_num2,Methanesulfonate transport via diffusion (extracellular to periplasm),b0241,3,38.922
MSO3tex_num3,Methanesulfonate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
MSO3tex_num4,Methanesulfonate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TDP,Thiamin pyrophosphatase,b1134,1,17.43291
3PEPTabcpp_num1,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ),( 1 and 1 and 1 and 1 ),( 40.3603 and 69.66909 and 58.72601 and 38.09152 )
3PEPTabcpp_num2,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b1329 and b1247 and b1245 and b1244 and b1246 ),( 1 and 1 and 1 and 1 and 1 ),59.90021 and 37.19755 and 33.02192 and 33.4432 and 37.18843
3PEPTabcpp_num3,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b1244 and b1247 and b1245 and b1246 and b1243 ),( 1 and 1 and 1 and 1 and 1 ) ,33.4432 and 37.19755 and 33.02192 and 37.18843 and 60.89893
4PEPTabcpp_num1,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b1245 and b1247 and b1243 and b1244 and b1246 ),( 1 and 1 and 1 and 1 and 1 ),( 33.02192 and 37.19755 and 60.89893 and 33.4432 and 37.18843 )
4PEPTabcpp_num2,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ),( 1 and 1 and 1 and 1 ) ,40.3603 and 69.66909 and 58.72601 and 38.09152
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),b0433,1,53.2452
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),b0433,1,53.2452
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),b0433,1,53.2452
FEOXAMR1,Ferroxamine reductase,b4367,1,30.11275
FEOXAMR2,Ferroxamine reductase,b4367,1,30.11275
FEOXAMR3,Ferroxamine reductase,b4367,1,30.11275
PTHRpp_num1,Phospho-L-threonine phosphatase (periplasmic),b4055,4,26.10354
PTHRpp_num2,Phospho-L-threonine phosphatase (periplasmic),b0383,2 ,49.43859
ARABDI,L-fucose isomerase,b2802,6,64.97667
AGt3,Silver transport out via proton antiport,b0573 and b0572 and b0574 and b0575,1 and 3 and 6 and 3 ,12.25116 and 50.26959 and 44.3049 and 114.70715
CD2t3pp_num1,Cadmium (Cd+2) transport out via proton antiport (periplasm),b3915,2,32.92726
CD2t3pp_num2,Cadmium (Cd+2) transport out via proton antiport (periplasm),b0752,1 ,34.67842
ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),b1858 and b1859 and b1857,2 and 2 and 2 ,27.86746 and 27.72866 and 33.77738
SKMt2pp,Shikimate transport in via proton symport (periplasm),b1981,1,47.81738
FE2t2pp,Iron (II) transport in via proton symport (periplasm),b2392,1,44.19367
R5PPpp_num1,Ribose 5-phosphate phosphatase,b4055,4,26.10354
R5PPpp_num2,Ribose 5-phosphate phosphatase,b0383,2 ,49.43859
PSP_Lpp_num1,Phospho-L-serine phosphatase (periplasmic),b4055,4,26.10354
PSP_Lpp_num2,Phospho-L-serine phosphatase (periplasmic),b0383,2 ,49.43859
TYRPpp,Phospho-L-tyrosine phosphatase (periplasmic),b4055,4,26.10354
GLYC2Ptex_num1,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLYC2Ptex_num2,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GLYC2Ptex_num3,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLYC2Ptex_num4,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PSERtex_num1,Phospho-L-serine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PSERtex_num2,Phospho-L-serine transport via diffusion (extracellular to periplasm),b0241,3,38.922
PSERtex_num3,Phospho-L-serine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PSERtex_num4,Phospho-L-serine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
R5Ptex_num1,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
R5Ptex_num2,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
R5Ptex_num3,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
R5Ptex_num4,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
THRPtex_num1,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
THRPtex_num2,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b0241,3,38.922
THRPtex_num3,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
THRPtex_num4,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TYRPtex_num1,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
TYRPtex_num2,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b0241,3,38.922
TYRPtex_num3,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
TYRPtex_num4,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PAPSR2_num1,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b1064 and b2762 ),( 1 and 2 ),( 24.35021 and 27.97583 )
PAPSR2_num2,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b3610 and b2762 ),( 1 and 2 ),9.13749 and 27.97583
PAPSR2_num3,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b0849 and b2762 ),( 1 and 2 ),9.68485 and 27.97583
PAPSR2_num4,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b1654 and b2762 ),( 2 and 2 ) ,12.87876 and 27.97583
GRXR_num1,Glutaredoxin reductase,b1654,2,12.87876
GRXR_num2,Glutaredoxin reductase,b1064,1,24.35021
GRXR_num3,Glutaredoxin reductase,b3610,1,9.13749
GRXR_num4,Glutaredoxin reductase,b0849,1 ,9.68485
RNDR1b_num1,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 1 and 2 and 2 ),( 9.68485 and 36.44324 and 80.47901 )
RNDR1b_num2,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 2 and 2 and 1 ),36.44324 and 80.47901 and 24.35021
RNDR1b_num3,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ),36.44324 and 80.47901 and 9.13749
RNDR1b_num4,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ) ,36.44324 and 80.47901 and 12.87876
RNDR2b_num1,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ),( 36.44324 and 80.47901 and 12.87876 )
RNDR2b_num2,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 1 and 2 and 2 ),9.68485 and 36.44324 and 80.47901
RNDR2b_num3,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 2 and 2 and 1 ),36.44324 and 80.47901 and 24.35021
RNDR2b_num4,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ) ,36.44324 and 80.47901 and 9.13749
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),b0452,4,31.96633
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),b0452,4,31.96633
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),b0452,4,31.96633
AAMYL,Alpha-amylase,b1927,1,56.63938
AAMYLpp,Alpha-amylase (periplasm),b3571,1,75.71267
FACOAL80t2pp_num1,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1805,2,62.33199
FACOAL80t2pp_num2,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1701,1 ,60.77312
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",b3650,1,79.34244
CPGNabcpp,Coprogen transport via ABC system (periplasm),b0153 and b0151 and b0152,1 and 2 and 1 ,70.423 and 28.88643 and 32.99833
CITtex_num1,Citrate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
CITtex_num2,Citrate transport via diffusion (extracellular to periplasm),b0241,3,38.922
CITtex_num3,Citrate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
CITtex_num4,Citrate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACGAtex_num1,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACGAtex_num2,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACGAtex_num3,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACGAtex_num4,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54159
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54159
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54159
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",b4213,1,70.83219
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",b4213,1,70.83219
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",b4213,1,70.83219
SARCOX,Sarcosine oxidase,b1059,1,40.902
MN6PP_num1,Mannose 6-phosphate phosphatase,b3697,1,29.72114
MN6PP_num2,Mannose 6-phosphate phosphatase,b0822,1,30.41283
MN6PP_num3,Mannose 6-phosphate phosphatase,b1727,1,24.33024
MN6PP_num4,Mannose 6-phosphate phosphatase,b3826,1 ,29.70773
3KGK,3-keto-L-gulonate kinase,b3580,2,55.15484
F6PP_num1,D-fructose 6-phosphate phosphatase,b2293,1,23.00752
F6PP_num2,D-fructose 6-phosphate phosphatase,b3697,1,29.72114
F6PP_num3,D-fructose 6-phosphate phosphatase,b0822,1,30.41283
F6PP_num4,D-fructose 6-phosphate phosphatase,b2690,1,20.77981
F6PP_num5,D-fructose 6-phosphate phosphatase,b3826,1 ,29.70773
GDPMNH,GDP-mannose mannosyl hydrolase,b2051,2,18.27349
FACOAL60t2pp_num1,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1805,2,62.33199
FACOAL60t2pp_num2,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1701,1 ,60.77312
IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",b4265,1,46.04129
ILEabcpp,L-isoleucine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,1 and 1 and 1 and 1 and 1 ,32.98227 and 28.42684 and 46.26931 and 39.0764 and 26.31024
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",b3265 and b3266 and b3035,6 and 3 and 3 ,41.31768 and 111.45439 and 53.74072
INSt2pp_num1,Inosine transport in via proton symport (periplasm),b2406,1,46.13983
INSt2pp_num2,Inosine transport in via proton symport (periplasm),b2964,1,46.38924
INSt2pp_num3,Inosine transport in via proton symport (periplasm),b2393,1 ,43.47575
LYXt2pp,L-Lyxose transport via proton symport (periplasm),b3907,1,37.31979
GDPDPK_num1,GDP diphosphokinase,b2784,1,83.87562
GDPDPK_num2,GDP diphosphokinase,b3650,1 ,79.34244
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54159
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54159
G6Ptex_num1,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
G6Ptex_num2,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
G6Ptex_num3,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
G6Ptex_num4,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TUNGSabcpp,Tungstate transport via ABC system (periplasm),b0765 and b0764 and b0763,1 and 2 and 1 ,39.10243 and 24.93882 and 27.36423
MOBDabcpp_num1,Molybdate transport via ABC system (periplasm),( b2424 and b2422 and b2423 and b3917 ),( 1 and 2 and 1 and 1 ),( 30.29186 and 41.05892 and 32.53759 and 36.65932 )
MOBDabcpp_num2,Molybdate transport via ABC system (periplasm),( b0765 and b0764 and b0763 ),( 1 and 2 and 1 ),39.10243 and 24.93882 and 27.36423
MOBDabcpp_num3,Molybdate transport via ABC system (periplasm),( b2423 and b2425 and b2422 and b2424 ),( 1 and 1 and 2 and 1 ) ,32.53759 and 37.61457 and 41.05892 and 30.29186
MOBDtex_num1,Molybdate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
MOBDtex_num2,Molybdate transport via diffusion (extracellular to periplasm),b0241,3,38.922
MOBDtex_num3,Molybdate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
MOBDtex_num4,Molybdate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
NI2uabcpp_num1,"Nickel transport via ABC system (uptake, periplasm)",( b3477 and b3476 and b3480 and b3479 and b3478 ),( 1 and 1 and 1 and 1 and 1 ),( 35.2481 and 58.71902 and 29.72166 and 26.82038 and 30.36196 )
NI2uabcpp_num2,"Nickel transport via ABC system (uptake, periplasm)",b4242,1 ,99.46649
NI2tex_num1,Nickel transport via diffusion (extracellular to periplasm),b1377,1,41.21985
NI2tex_num2,Nickel transport via diffusion (extracellular to periplasm),b0241,3,38.922
NI2tex_num3,Nickel transport via diffusion (extracellular to periplasm),b0929,3,39.33331
NI2tex_num4,Nickel transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
R15BPK,"Ribose-1,5-bisphosphokinase",b4094,1,20.72959
Kabcpp_num1,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 ),( 1 and 1 and 1 ),( 72.19918 and 59.18907 and 20.26716 )
Kabcpp_num2,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 and b4513 ),( 1 and 1 and 1 and 1 ) ,72.19918 and 59.18907 and 20.26716 and 3.07175
LEUabcpp_num1,L-leucine transport via ABC system (periplasm),( b3454 and b3460 and b3455 and b3457 and b3456 ),( 1 and 1 and 1 and 1 and 1 ),( 26.31024 and 39.0764 and 28.42684 and 32.98227 and 46.26931 )
LEUabcpp_num2,L-leucine transport via ABC system (periplasm),( b3457 and b3456 and b3458 and b3455 and b3454 ),( 1 and 1 and 1 and 1 and 1 ) ,32.98227 and 46.26931 and 39.37868 and 28.42684 and 26.31024
L_LACt2rpp_num1,L-lactate reversible transport via proton symport (periplasm),b3603,1,59.1682
L_LACt2rpp_num2,L-lactate reversible transport via proton symport (periplasm),b2975,1 ,58.92016
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),b3528,1,45.43628
MALt2_3pp_num1,Malate transport via proton symport (3 H) (periplasm),b4123,1,47.93526
MALt2_3pp_num2,Malate transport via proton symport (3 H) (periplasm),b4138,1 ,45.75071
MALTabcpp,Maltose transport via ABC system (periplasm),b4032 and b4033 and b4035 and b4034,1 and 1 and 2 and 1 ,32.22542 and 57.0134 and 40.99045 and 43.38764
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),b4033 and b4034 and b4032 and b4035,1 and 1 and 1 and 2 ,57.0134 and 43.38764 and 32.22542 and 40.99045
MALTPTabcpp,Maltopentaose transport via ABC system (periplasm),b4033 and b4035 and b4032 and b4034,1 and 2 and 1 and 1 ,57.0134 and 40.99045 and 32.22542 and 43.38764
MALTTRabcpp,Maltotriose transport via ABC system (periplasm),b4033 and b4034 and b4035 and b4032,1 and 1 and 2 and 1 ,57.0134 and 43.38764 and 40.99045 and 32.22542
MALTTTRabcpp,Maltotetraose transport via ABC system (periplasm),b4034 and b4033 and b4032 and b4035,1 and 1 and 1 and 2 ,43.38764 and 57.0134 and 32.22542 and 40.99045
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),b3666,1,50.6066
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),b0731 and b2415 and b2416,1 and 1 and 2 ,69.6679 and 9.11937 and 63.56184
MELIBt2pp_num1,Melibiose transport in via symport (periplasm),b4120,1,52.63642
MELIBt2pp_num2,Melibiose transport in via symport (periplasm),b0343,1 ,46.50326
METabcpp,L-methionine transport via ABC system (periplasm),b0197 and b0198 and b0199,1 and 2 and 2 ,29.43165 and 23.25608 and 37.78837
GGPTRCS,Gamma glutamyl putrescine synthase,b1297,12,53.17716
RMNtpp,L-rhamnose transport via proton symport (periplasm),b3907,1,37.31979
SERt4pp,L-serine via sodium symport (periplasm),b3089,1,43.47769
SUCCt2_3pp_num1,Succintate transport via proton symport (3 H) (periplasm),b4123,1,47.93526
SUCCt2_3pp_num2,Succintate transport via proton symport (3 H) (periplasm),b4138,1 ,45.75071
MNLptspp_num1,Mannitol transport via PEP:Pyr PTS (periplasm),( b2933 and b2415 and b2934 and b2416 ),( 1 and 1 and 1 and 2 ),( 48.97102 and 9.11937 and 16.04623 and 63.56184 )
MNLptspp_num2,Mannitol transport via PEP:Pyr PTS (periplasm),( b3599 and b2415 and b2416 ),( 2 and 1 and 2 ),67.97226 and 9.11937 and 63.56184
MNLptspp_num3,Mannitol transport via PEP:Pyr PTS (periplasm),( b2703 and b2704 and b2415 and b2702 and b2416 ),( 1 and 1 and 1 and 1 and 2 ) ,33.33204 and 13.30405 and 9.11937 and 20.58033 and 63.56184
NAt3_1p5pp,Sodium proton antiporter (H:NA is 1.5) (periplasm),b1186,1,56.72841
NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),b0019,2,41.3557
NH4tpp,Ammonia reversible transport (periplasm),b0451,3,44.51469
NMNPtpp,NMN permease (periplasm),b0751,1,26.99625
NO2t2rpp_num1,"Nitrite transport in via proton symport, reversible (periplasm)",b1223,1,49.69344
NO2t2rpp_num2,"Nitrite transport in via proton symport, reversible (periplasm)",b3367,1 ,28.56252
NO3t7pp_num1,Nitrate transport in via nitrite antiport (periplasm),b1223,1,49.69344
NO3t7pp_num2,Nitrate transport in via nitrite antiport (periplasm),b1469,1 ,49.89015
ORNabcpp,Ornithine transport via ABC system (periplasm),b2306 and b2307 and b2308 and b2310,2 and 1 and 1 and 1 ,28.65304 and 26.86981 and 24.64927 and 27.99166
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",b3728 and b3725 and b3727 and b3726,1 and 2 and 1 and 1 ,37.02392 and 29.02729 and 34.12101 and 32.32177
PNTOt4pp,Pantothenate sodium symporter (periplasm),b3258,1,51.71704
FRULYSDG,Fructoselysine phosphate deglycase,b3371,12,38.56923
METDabcpp,D-methionine transport via ABC system (periplasm),b0199 and b0198 and b0197,2 and 2 and 1 ,37.78837 and 23.25608 and 29.43165
PROabcpp,L-proline transport via ABC system (periplasm),b2678 and b2677 and b2679,2 and 2 and 1 ,37.61969 and 44.1628 and 36.02255
PROt2rpp_num1,L-proline reversible transport via proton symport (periplasm),b4111,2,54.84582
PROt2rpp_num2,L-proline reversible transport via proton symport (periplasm),b0402,1 ,50.21574
PROt4pp,Na+/Proline-L symporter (periplasm),b1015,1,54.34417
PTRCabcpp_num1,Putrescine transport via ABC system (periplasm),( b1441 and b1440 and b1442 and b1443 ),( 1 and 1 and 1 and 1 ),( 37.04059 and 42.29519 and 34.36008 and 28.7219 )
