,name,gene_reaction_rule,subunit_mw,subunit_num
TARTRt7pp,Tartrate/succinate antiporter (periplasm),b3063,52.90643,1
AHGDx,(S)-alpha-hydroxyglutarate dehydrogenase,b2913,44.17578,4
TAURabcpp,Taurine transport via ABC system (periplasm),b0367 and b0365 and b0366,29.81193 and 34.26612 and 28.29675 ,2 and 1 and 2 
THMDt2pp_copy1,,b2964 or b2393,46.38924 or 43.47575 ,1 or 1 
Kt2pp,Potassium transport in via proton symport (periplasm),( b1363 and b1291 and b3290 ) or ( b1291 and b3849 and b3290 ) or b1250 or b3747,( 53.94378 and 37.66069 and 50.36777 ) or ( 37.66069 and 52.95974 and 50.36777 ) or 46.0626 or 69.29413 ,( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or 4 or 1 
AKGt2rpp,2-oxoglutarate reversible transport via symport (periplasm),b2587,47.0525,1
XYLt2pp,D-xylose transport in via proton symport (periplasm),b4031,53.60804,1
THMabcpp,Thiamine transport via ABC system (periplasm),b0068 and b0066 and b0067,36.16341 and 24.99913 and 59.53317 ,1 and 2 and 2 
THMDt2pp_copy2,,b2406,46.13983,1
THRabcpp,L-threonine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,32.98227 and 28.42684 and 46.26931 and 39.0764 and 26.31024 ,1 and 1 and 1 and 1 and 1 
TREptspp,Trehalose transport via PEP:Pyr PTS (periplasm),b2416 and b2417 and b4240 and b2415,63.56184 and 18.25107 and 51.08074 and 9.11937 ,2 and 1 and 2 and 1 
TRPt2rpp,L-tryptophan reversible transport via proton symport (periplasm),b3709 or b3161 or b0112,45.21068 or 44.33257 or 49.69013 ,1 or 1 or 1 
TYRt2rpp,L-tyrosine reversible transport via proton symport (periplasm),b1907 or b0112,42.81913 or 49.69013 ,1 or 1 
URIt2pp_copy1,,b2964 or b2393,46.38924 or 43.47575 ,1 or 1 
URIt2pp_copy2,,b2406,46.13983,1
VALabcpp,L-valine transport via ABC system (periplasm),b3455 and b3456 and b3457 and b3460 and b3454,28.42684 and 46.26931 and 32.98227 and 39.0764 and 26.31024 ,1 and 1 and 1 and 1 and 1 
XTSNt2rpp,Xanthosine transport via proton symport (periplasm),b2406,46.13983,1
XYLabcpp,D-xylose transport via ABC system (periplasm),b3566 and b3568 and b3567,35.73403 and 41.03083 and 56.4704 ,1 and 2 and 1 
XYLUt2pp,L-xylulose transport in via proton symport (periplasm),b3578 and b3577 and b3579,45.36814 and 17.51588 and 35.97009 ,1 and 1 and 1 
THRt4pp,L-threonine  via sodium symport (periplasm),b3089,43.47769,1
GALtex,D-galactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALCTtex,D-galactarte transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALCTNtex,D-galactonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALTtex,Galactitol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALURtex,D-galacturonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GTPCI,GTP cyclohydrolase I,b2153,24.83062,10
FDMO,FMNH2-dependent monooxygenase,b0935,41.73627,4
FEOXAMabcpp,Ferroxamine transport via ABC system (periplasm),b0153 and b0152 and b0151,70.423 and 32.99833 and 28.88643 ,1 and 1 and 2 
CBL1abcpp,Cob(1)alamin transport via ABC system (periplasm),b0158 and b1709 and b1711,29.36684 and 27.08118 and 34.94929 ,1 and 2 and 2 
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),b2223,47.52771,1
ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),( b2415 and b2416 and b2417 and b1101 ) or ( b2416 and b2415 and b0679 ),( 9.11937 and 63.56184 and 18.25107 and 50.67655 ) or ( 63.56184 and 9.11937 and 68.34689 ) ,( 1 and 2 and 1 and 2 ) or ( 2 and 1 and 2 ) 
ACMANAptspp,N-acetyl-D-mannosamine transport via PTS  (periplasm),b1817 and b1818 and b2415 and b2416 and b1819,35.04755 and 27.63578 and 9.11937 and 63.56184 and 30.95549 ,2 and 1 and 1 and 2 and 2 
ACNAMt2pp,N-acetylneuraminate proton symport (periplasm),b3224,53.55125,1
CHOLD,Choline dehydrogenase,b0311,61.87759,1
DRPA,Deoxyribose-phosphate aldolase,b4381,27.7338,1
TKT2,Transketolase,b2935 or b2465,72.21174 or 73.04272 ,2 or 1 
FEENTERabcpp,Fe-enterobactin transport via ABC system (periplasm),b0590 and b0589 and b0592 and b0588,33.87133 and 34.91018 and 34.28307 and 29.78411 ,1 and 1 and 1 and 2 
FECRMabcpp,Ferrichrome transport via ABC system (periplasm),b0152 and b0153 and b0151,32.99833 and 70.423 and 28.88643 ,1 and 1 and 2 
GAMtex,D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GBBTNtex,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ARBt2rpp,L-arabinose transport via proton symport (periplasm),b2841,51.68443,1
DMSOR1pp,Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm),b1872 and b1873,88.964 and 40.28642 ,1 and 1 
ARGabcpp,L-arginine transport via ABC system (periplasm),( b2310 and b2308 and b2306 and b2307 ) or ( b0862 and b0860 and b0864 and b0861 ) or ( b0862 and b0864 and b0863 and b0861 ),( 27.99166 and 24.64927 and 28.65304 and 26.86981 ) or ( 26.21713 and 26.82948 and 27.02205 and 24.91377 ) or ( 26.21713 and 27.02205 and 26.92956 and 24.91377 ) ,( 1 and 1 and 2 and 1 ) or ( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
ARGAGMt7pp,Arginine/agmatine antiport (periplasm),b4115,46.84262,2
ASCBptspp,L-ascorbate transport via PEP:Pyr PTS (periplasm),b2416 and b4193 and b4195 and b2415 and b4194,63.56184 and 50.7375 and 17.23754 and 9.11937 and 10.89561 ,2 and 2 and 1 and 1 and 1 
ASNt2rpp,L-asparagine reversible transport via proton symport (periplasm),b1453,54.23309,1
ASPabcpp,L-aspartate transport via ABC system (periplasm),b0655 and b0654 and b0652 and b0653,33.42016 and 27.50268 and 26.6611 and 24.91473 ,1 and 1 and 2 and 1 
ASPt2pp,L-aspartate transport in via proton symport (periplasm),b4077,47.15919,1
ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),b3528,45.43628,1
ASPt2_3pp,L-asparate transport via proton symport (3 H) (periplasm),b4138 or b4123,45.75071 or 47.93526 ,1 or 1 
HIStex,L-histidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
HXAtex,Hexanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
HYXNtex,Hypoxanthine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
IDONtex,L-idonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ILEtex,L-isoleucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
INSTtex,Inositol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
INStex,Inosine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
Ktex,Potassium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
D_LACtex,D-lactate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NTD8pp,5'-nucleotidase (dGMP),b4055 or b0480,26.10354 or 60.82397 ,4 or 1 
FRULYStex,Fructoselysine transporter via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALCTt2rpp,"D-galactarte transport via proton symport, reversible (periplasm)",b2789 or b3127,49.14209 or 49.00924 ,1 or 1 
GALt2pp,D-galactose transport in via proton symport (periplasm),b2943,50.9825,1
ASPtex,L-aspartate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm),b2663,51.0801,1
CYSabcpp,L-cysteine uptake via ABC system (periplasm),b1920 and b1918 and b1917,29.039 and 24.801 and 27.677 ,1 and 2 and 2 
SBTptspp,D-sorbitol transport via PEP:Pyr PTS (periplasm),b2702 and b2704 and b2416 and b2703 and b2415,20.58033 and 13.30405 and 63.56184 and 33.33204 and 9.11937 ,1 and 1 and 2 and 1 and 1 
TREHpp,"Alpha,alpha-trehalase (periplasm)",b1197,63.63672,1
CYTBDpp,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),( b0978 and b0979 ) or ( b0733 and b0734 and b4515 ),( 57.91985 and 42.42385 ) or ( 58.20508 and 42.45312 and 4.042 ) ,( 1 and 1 ) or ( 1 and 1 and 1 ) 
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),b0978 and b0979,57.91985 and 42.42385 ,1 and 1 
ACt2rpp,Acetate reversible transport via proton symport (periplasm),b0010,20.071,1
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 55.22208 and 31.57742 and 15.06827 and 19.33222 and 50.32542 and 13.63173 and 8.25611 and 30.30326 and 17.26396 ) or ( 50.32542 and 19.33222 and 15.06827 and 31.57742 and 55.22208 and 8.25611 and 30.30326 and 17.26396 ) ,( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ) or ( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) 
INDOLEtex,Indole transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
L_LACtex,L-lactate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
ACt4pp,Na+/Acetate symport (periplasm),b4067,59.19712,2
ADEt2rpp,Adenine transport via proton symport (reversible) (periplasm),b3714 or b3654 or b3664,46.86575 or 48.86804 or 46.934 ,1 or 1 or 1 
ADNt2pp_copy1,,b2964 or b2393,46.38924 or 43.47575 ,1 or 1 
ADNt2pp_copy2,,b2406,46.13983,1
ALAabcpp,L-alanine transport via ABC system (periplasm),b3460 and b3456 and b3454 and b3455 and b3457,39.0764 and 46.26931 and 26.31024 and 28.42684 and 32.98227 ,1 and 1 and 1 and 1 and 1 
ALLabcpp,D-allose transport via ABC system (periplasm),b4088 and b4087 and b4086,32.9099 and 56.74485 and 34.31569 ,1 and 1 and 2 
ALLTNt2rpp,Allantoin transport in via proton symport (periplasm),b0511,52.45608,1
ARBabcpp,L-arabinose transport via ABC system (periplasm),b1901 and b4460 and b1900,35.5409 and 34.21092 and 55.01823 ,1 and 2 and 2 
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
GLCDpp,Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),b0124 or b0837,86.74735 or 41.05448 ,1 or 1 
GUAtpp,Guanine transport via diffusion (periplasm),b4464 or b4064,46.758 or 45.712 ,1 or 1 
HYD2pp,Hydrogenase (menaquinone8: 2 protons) (periplasm),( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 ),( 27.59731 and 66.25337 and 40.68136 ) or ( 36.003 and 62.49116 and 39.65201 and 43.60204 ) ,( 2 and 4 and 4 ) or ( 1 and 1 and 1 and 1 ) 
HYXNtpp,Hypoxanthine transport (periplasm),b4064 or b4464,45.712 or 46.758 ,1 or 1 
FE3DCITabcpp,Iron transport from ferric-dicitrate via ABC system (periplasm),b4289 and b4287 and b4288 and b4290,34.89273 and 28.19065 and 34.1315 and 33.14635 ,1 and 2 and 1 and 1 
CPGNtonex,Coprogen transport via ton system (extracellular),b1102 and b3006 and b1252 and b3005,81.23265 and 26.28739 and 26.09426 and 15.52698 ,1 and 1 and 1 and 1 
GLCRtex,D-glucarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLCNtex,D-gluconate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLCURtex,D-glucuronat transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLNtex,L-glutamine transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
O2tex,Oxygen transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
OCTAtex,Octanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ORNtex,Ornithine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ECOAH5,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
DHFS,Dihydrofolate synthase,b2315,45.4057,1
CITt7pp,Citrate transport via succinate antiport (periplasm),b0612,53.09256,1
CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),b0040,56.58729,3
CHLabcpp,Choline transport via ABC system (periplasm),b2131 and b2129 and b2128 and b2130,32.6093 and 34.42451 and 25.51454 and 41.13857 ,1 and 1 and 1 and 1 
DGSNt2pp,Deoxyguanosine transport in via proton symport (periplasm),b2964,46.38924,1
DINSt2pp,Deoxyinosine transport in via proton symport (periplasm),b2964,46.38924,1
DURIt2pp,Deoxyuridine transport in via proton symport (periplasm),b2393 or b2964,43.47575 or 46.38924 ,1 or 1 
FE2abcpp,Iron (II) transport via ABC system (periplasm),b3409,84.47366,1
FRUptspp,D-fructose transport via PEP:Pyr PTS (periplasm),b2169 and b2415 and b2167 and b2416,39.64783 and 9.11937 and 57.51911 and 63.56184 ,1 and 1 and 2 and 2 
FUCtpp,L-fucose transport via proton symport (periplasm),b2801,47.54491,1
FUMt2_2pp,Fumarate transport via proton symport (2 H) (periplasm),b3528,45.43628,1
FUMt2_3pp,Fumarate transport via proton symport (3 H) (periplasm),b4123 or b4138 or b0621,47.93526 or 45.75071 or 48.41221 ,1 or 1 or 1 
FEENTERtonex,Fe-enterobactin transport via ton system (extracellular),b0584 and b3006 and b1252 and b3005,82.1069 and 26.28739 and 26.09426 and 15.52698 ,1 and 1 and 1 and 1 
CSNt2pp,Cytosine transport in via proton symport (periplasm),b0336,43.6496,1
CYNTt2pp,Cyanate transport via proton symport (periplasm),b0341,41.3607,1
CYTDt2pp_copy1,,b2393 or b2964,43.47575 or 46.38924 ,1 or 1 
CYTDt2pp_copy2,,b2406,46.13983,1
DADNt2pp,Deoxyadenosine transport in via proton symport (periplasm),b2393 or b2964,43.47575 or 46.38924 ,1 or 1 
DCYTt2pp,Deoxycytidine transport in via proton symport (periplasm),b2393 or b2964,43.47575 or 46.38924 ,1 or 1 
DDGLCNt2rpp,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",b3909,33.66927,1
RMNtex,L-rhamnose transport via diffusion (extracellular to periplasm),b0929 or b0241 or b2215 or b1377,39.33331 or 38.922 or 40.36812 or 41.21985 ,3 or 3 or 3 or 1 
MALTTRtexi,Maltotriose transport via diffusion (extracellular to periplasm) irreversible,b4036,49.91223,3
MALTTTRtexi,MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,b4036,49.91223,3
MALTPTtexi,MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,b4036,49.91223,3
MALTtexi,MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,b4036,49.91223,3
GLCtex_copy1,,b4036,49.91223,3
FE3DCITtonex,Ferric-dicitrate transport via ton system (extracellular),b3006 and b1252 and b3005 and b4291,26.28739 and 26.09426 and 15.52698 and 85.32161 ,1 and 1 and 1 and 1 
PHEtex,L-phenylalanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PItex,Phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACGAMK,N-acetylglucosamine kinase,b1119,33.04267,1
METS,Methionine synthase,b4019 or b3829,135.99704 or 84.67354 ,1 or 1 
CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm),b0887 and b0886,65.05619 and 62.92017 ,1 and 1 
PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,b2476,26.995,3
TRSARr,Tartronate semialdehyde reductase,b0509 or b3125,30.80058 or 30.42744 ,4 or 1 
LYXI,Lyxose isomerase,b3903,47.19944,4
PNTOtex,Pantothenate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PPPNtex,3-phenylpropionate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PPTtex,Phosphonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PTRCtex,Putrescine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PYRtex,Pyruvate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DSERtex,D-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SERtex,L-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SO4tex,Sulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SPMDtex,Spermidine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
SUCCtex,Succinate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SUCRtex,Sucrose transport transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TARTRtex,Tartrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TAURtex,Taurine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
THRtex,L-threonine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
THMDtex,Thymidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CBIuabcpp,"Cobinamide transport via ABC system (uptake, periplasm)",b0158 and b1711 and b1709,29.36684 and 34.94929 and 27.08118 ,1 and 2 and 2 
METDtex,D-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
METtex,L-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MNLtex,Mannitol transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NAtex,Sodium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NACtex,Nicotinic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NH4tex,Ammonia transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
URIH,Uridine hydrolase,b0651 or b2162 or b0030,33.82292 or 33.748 or 32.56077 ,1 or 4 or 1 
XTSNH,Xanthosine hydrolase,b0030,32.56077,1
INSH,Inosine hydrolase,b0030,32.56077,1
BUTtex,Butyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CHLtex,Choline transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CO2tex,CO2 transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CRNtex,L-carnitine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PPK2,Polyphosphate kinase,b2501,80.43151,2
DINStex,Deoxyinosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DMStex,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CSNtex,Cytosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CYNTtex,Cyanate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
CYStex,L-cysteine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CYTDtex,Cytidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DCAtex,Decanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DCYTtex,Deoxycytidine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
DGSNtex,Deoxyguanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)",b3941,33.10273,4
ASPO3,L-aspartate oxidase,b2574,60.33741,1
ASPO5,L-aspartate oxidase,b2574,60.33741,1
ASPO4,L-aspartate oxidase,b2574,60.33741,1
ASPO6,L-aspartate oxidase,b2574,60.33741,1
LCTStex,Lactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LEUtex,L-leucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LYStex,L-lysine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LYXtex,L-Lyxose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MANtex,D-mannose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MAN6Ptex,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
MELIBtex,Melibiose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DMSOtex,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DURItex,Deoxyuridine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
FRUtex,D-fructose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FUCtex,L-fucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FUMtex,Fumarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),b3845 or b2342,40.8762 or 46.5305 ,2 or 1 
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),b1800,40.31493,1
