,name,gene_reaction_rule,subunit_num
SO4tex,Sulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SPMDtex,Spermidine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
SUCCtex,Succinate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SUCRtex,Sucrose transport transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TARTRtex,Tartrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TAURtex,Taurine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
THRtex,L-threonine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
THMDtex,Thymidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CBIuabcpp,"Cobinamide transport via ABC system (uptake, periplasm)",b0158 and b1711 and b1709,1 and 2 and 2 
METDtex,D-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
METtex,L-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MNLtex,Mannitol transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
NAtex,Sodium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NACtex,Nicotinic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NH4tex,Ammonia transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
URIH,Uridine hydrolase,b0651 or b2162 or b0030,1 or 4 or 1 
XTSNH,Xanthosine hydrolase,b0030,1
INSH,Inosine hydrolase,b0030,1
BUTtex,Butyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CHLtex,Choline transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CO2tex,CO2 transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CRNtex,L-carnitine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PPK2,Polyphosphate kinase,b2501,2
DINStex,Deoxyinosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DMStex,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CSNtex,Cytosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CYNTtex,Cyanate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
CYStex,L-cysteine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CYTDtex,Cytidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DCAtex,Decanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DCYTtex,Deoxycytidine transport via diffusion (extracellular to periplasm),b0411,1
DGSNtex,Deoxyguanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)",b3941,4
ASPO3,L-aspartate oxidase,b2574,1
ASPO5,L-aspartate oxidase,b2574,1
ASPO4,L-aspartate oxidase,b2574,1
ASPO6,L-aspartate oxidase,b2574,1
LCTStex,Lactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LEUtex,L-leucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LYStex,L-lysine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LYXtex,L-Lyxose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MANtex,D-mannose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MAN6Ptex,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
MELIBtex,Melibiose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DMSOtex,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DURItex,Deoxyuridine transport via diffusion (extracellular to periplasm),b0411,1
FRUtex,D-fructose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FUCtex,L-fucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FUMtex,Fumarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),b3845 or b2342,2 or 1 
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),b1800,1
FE2tex,Iron (II) transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
NMNtex,NMN transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NO2tex,Nitrite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DHPS2,Dihydropteroate synthase,b3177,2
MTHFC,Methenyltetrahydrofolate cyclohydrolase,b0529,2
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),b0529,2
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",b2223,1
CADVtpp,Lysine/Cadaverine antiporter (periplasm),b4132,1
QULNS,Quinolinate synthase,b0750,2
ALKP,Alkaline phosphatase,b2690,1
GDPtex,GDP transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
TMAtex,Trimethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TMAOtex,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TREtex,Trehalose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
L_LACD3,L-Lactate dehydrogenase (menaquinone),( b0308 and b0306 and b0307 ) or b3605,( 1 and 1 and 1 ) or 1 
L_LACD2,L-Lactate dehydrogenase (ubiquinone),( b0306 and b0308 and b0307 ) or b3605,( 1 and 1 and 1 ) or 1 
ACACT6r,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),b2342 or b3845,1 or 2 
TRPtex,L-tryptophan transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TSULtex,Thiosulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TYRtex,L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
URAtex,Uracil transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UREAtex,Urea transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
URItex,Uridine transport via diffusion (extracellular to periplasm),b0411,1
VALtex,L-valine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
XANtex,Xanthine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
XYLtex,D-xylose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FORtppi,Formate transport via diffusion (cytoplasm to periplasm),b0904 or b2492,5 or 1 
GLCTR1,Glucosyltransferase I (LPS core synthesis),b3631,1
LIPAabcpp,Lipid A transport via ABC system (periplasm),b0914,2
LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm),b0914,2
GGGABADr,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,b1300,1
GLYOX3,Glyoxalase III,b1967,2
FDMO3,FMNH2-dependent monooxygenase (ethanesulfonate),b0935,4
FDMO4,FMNH2-dependent monooxygenase (butanesulfonate),b0935,4
BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm),( b0933 and b0934 and b0936 ) or ( b0365 and b0366 and b0367 ),( 2 and 2 and 1 ) or ( 1 and 2 and 2 ) 
ETHSO3abcpp,Ethanesulfonate transport via ABC system (periplasm),b0933 and b0934 and b0936,2 and 2 and 1 
O16GLCT1,Glucosyltransferase I (LPS O16 antigen biosynthesis),b2032,1
O16AP2pp,O16 antigen polymerase (periplasm),b2027 and b2035,1 and 1 
O16AP3pp,O16 antigen polymerase (periplasm),b2027 and b2035,1 and 1 
O16A4Lpp,O16 anitgen (x4) ligase (periplasm),b3622,1
MALTATr,Maltose O-acetyltransferase,b0459,3
ENTERES,Enterochelin Esterase,b0585,1
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3AMPtex,3AMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3CMPtex,3CMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,b1326,2
ALAGLUE,L-alanyl-gamma-glutamate epimerase,b1325,1
FEENTERtpp,Enterochelin transport (secretion),b0591,1
FEENTERtex,Enterochelin transport (secretion periplasm),b3035,3
PTRCt2pp,Putrescine transport in via proton symport,b1296 or b0692 or b2014,1 or 1 or 1 
GGGABAH,Gamma-glutamyl-gamma-aminobutyric acid hydrolase,b1298,2
FRULYSK,Fructoselysine Kinase,b3374,1
FDMO6,FMNH2-dependent monooxygenase (sulfoacetate),b0935,4
SULFACabcpp,Sulfoacetate transport via ABC system (periplasm),b0933 and b0934 and b0936,2 and 2 and 1 
ETHSO3tex,Ethanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
BUTSO3tex,Butanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LIPOtex,Lipoate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b2215 or b0241,3 or 1 or 3 or 3 
CYANSTpp,Cyanide sulfurtransferase (periplasmic),b1308,1
MCPST,3-mercaptopyruvate sulfurtransferase,b2521,1
PHEMEabcpp,Protoheme transport via ABC system (periplasm),b2200 and b2199 and b2198 and b2197 and b2201,1 and 1 and 1 and 1 and 2 
GALBDtex,Beta D-galactose transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
LIPAHT2ex,Core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),b0622,2
LIPAHTex,Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),b0622,2
ECAP1pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,1 and 1 and 1
UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),b3057 or b1278 or b0841,1 or 1 or 1 
ECAP2pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,1 and 1 and 1
ECA4OALpp,Enterobacterial common antigen (x4) O-antigen ligase (periplasm),b3622,1
FE3Ri,Fe(III) reduction,b3844,1
SULFACtex,Sulfoaceate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
NODOy,Nitric oxide dioxygenase,b2552,1
GALM2pp,Aldose-1-epimerase,b0756,1
CU1abcpp,Copper (Cu +1) ABC transporter (periplasm),b0484,1
HG2abcpp,Mercury (Hg+2) ABC transporter (periplasm),b3469,1
GLCTR3,Glucosyltransferase III (LPS core synthesis),b3626,1
HEPT4,Heptosyltransferase IV (LPS core synthesis),b3623,1
LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",b2257,1
NODOx,Nitric oxide dioxygenase,b2552,1
NOtex,Nitric oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NHFRBO,NADH:flavorubredoxin oxidoreductase,b2711 and b2710,1 and 4 
N2Otex,Nitrious oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),b0040,3
CRNt2rpp,L-carnitine outward transport (H+ antiport),b4111,2
CRNDt2rpp,D-carnitine outward transport (H+ antiport),b4111,2
CTBTt2rpp,Cronobetaine outward transport (H+ antiport),b4111,2
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",b1386,2
TYROXDApp,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),b1386,2
PEAMNtex,Phenethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PACALDtex,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NTRIR4pp,"Nitrite Reductase (Menaquinole-8, periplasm)",b4072 and b4070 and b4071 and b4073,1 and 1 and 1 and 1 
NTRIR3pp,"Nitrite Reductase (Ubiquinole-8, periplasm)",b4072 and b4070 and b4071 and b4073,1 and 1 and 1 and 1 
INOSTt4pp,Na+/myo-inositol symporter (periplasm),b3679,1
AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,b0110,1
CYANtex,Cyanide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SO3tex,Sulfite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TCYNTtex,Thiocyanate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACANTHAT,Acetyl-CoA:anthranilate acetyltransferase,b1463,2
METSOX1tex,L-methionine S-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
METSOX2tex,L-methionine R-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3UMPtex,3UMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3GMPtex,3GMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
METSOXR1,L-methionine-S-oxide reductase,( b3551 and b2582 ) or ( b2582 and b4219 ) or ( b3781 and b4219 ) or ( b3551 and b3781 ),( 1 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) 
METSOXR2,L-methionine-R-sulfoxide reductase,( b1832 and b3781 ) or ( b2582 and b1778 ) or ( b3781 and b1778 ) or ( b1832 and b2582 ),( 2 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) or ( 2 and 1 ) 
DAPAL,"2,3-diaminopropionate amonnia lyase",b2871,2
AMPTASECG,Alanyl aminopeptidase (cys-gly),b2523 or b0932 or b4260 or b0237,6 or 1 or 6 or 2 
DOPAtex,Dopamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
4HOXPACDtex,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LACZpp,B-galactosidase,b2132,1
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),b2239,2
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),b2239,2
ETHAtex,Ethanolamine transport via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
G3PStex,Glycerophosphserine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FLVR,Flavin reductase,b3844 or ( b2764 and b2763 ),1 or ( 8 and 4 ) 
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),b0935,4
LALGP,L-alanyl-gamma-L-glutamate peptidase,b0237,2
AGM4PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b2435 or b2817 or b4169 or b0867,1 or 1 or 1 or 1 
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,b0110,1
RNDR3b,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1064 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1654 ),( 2 and 2 and 1 ) or ( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 2 ) 
RNDR4b,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1654 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1064 ),( 2 and 2 and 2 ) or ( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 1 ) 
ACGAL1Ptex,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACGALtex,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLCUR1Ptex,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UDPGLCURtex,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UDPGALPpp,UDPgalactose pyrophosphohydrolase,b0480,1
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm),b0480,1
UACGALPpp,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm),b0480,1
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase (periplasm),b0480,1
FEROpp,Ferroxidase,b0123 or b3336,1 or 24 
ISETACabcpp,Isethionate transport via ABC system (periplasm),( b0366 and b0365 and b0367 ) or ( b0934 and b0933 and b0936 ),( 2 and 1 and 2 ) or ( 2 and 2 and 1 ) 
ISETACtex,Isethionate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UDPGtex,UDPglucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UDPGALtex,UDPgalactose transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
ACGAM1Ptex,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UACGAMtex,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
UDPACGALtex,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",b1192,1
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,b0110,1
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",b1192,1
CBLAT,Cob(I)alamin adenosyltransferase,b1270,1
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),b0936 and b0933 and b0934,1 and 2 and 2 
MSO3tex,Methanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TDP,Thiamin pyrophosphatase,b1134,1
3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ) or ( b1329 and b1247 and b1245 and b1244 and b1246 ) or ( b1244 and b1247 and b1245 and b1246 and b1243 ),( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 ) 
4PEPTabcpp,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b1245 and b1247 and b1243 and b1244 and b1246 ) or ( b2178 and b2177 and b2180 and b2179 ),( 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),b0433,1
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),b0433,1
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),b0433,1
FEOXAMR1,Ferroxamine reductase,b4367,1
FEOXAMR2,Ferroxamine reductase,b4367,1
FEOXAMR3,Ferroxamine reductase,b4367,1
PTHRpp,Phospho-L-threonine phosphatase (periplasmic),b4055 or b0383,4 or 2 
ARABDI,L-fucose isomerase,b2802,6
AGt3,Silver transport out via proton antiport,b0573 and b0572 and b0574 and b0575,1 and 3 and 6 and 3 
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),b3915 or b0752,2 or 1 
ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),b1858 and b1859 and b1857,2 and 2 and 2 
SKMt2pp,Shikimate transport in via proton symport (periplasm),b1981,1
FE2t2pp,Iron (II) transport in via proton symport (periplasm),b2392,1
R5PPpp,Ribose 5-phosphate phosphatase,b4055 or b0383,4 or 2 
PSP_Lpp,Phospho-L-serine phosphatase (periplasmic),b4055 or b0383,4 or 2 
TYRPpp,Phospho-L-tyrosine phosphatase (periplasmic),b4055,4
GLYC2Ptex,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PSERtex,Phospho-L-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
R5Ptex,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
THRPtex,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TYRPtex,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PAPSR2,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b1064 and b2762 ) or ( b3610 and b2762 ) or ( b0849 and b2762 ) or ( b1654 and b2762 ),( 1 and 2 ) or ( 1 and 2 ) or ( 1 and 2 ) or ( 2 and 2 ) 
GRXR,Glutaredoxin reductase,b1654 or b1064 or b3610 or b0849,2 or 1 or 1 or 1 
RNDR1b,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b1064 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1654 ),( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 2 ) 
RNDR2b,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1654 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b1064 ) or ( b2676 and b2675 and b3610 ),( 2 and 2 and 2 ) or ( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 1 ) 
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),b0452,4
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),b0452,4
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),b0452,4
AAMYL,Alpha-amylase,b1927,1
AAMYLpp,Alpha-amylase (periplasm),b3571,1
FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1805 or b1701,2 or 1 
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",b3650,1
CPGNabcpp,Coprogen transport via ABC system (periplasm),b0153 and b0151 and b0152,1 and 2 and 1 
CITtex,Citrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACGAtex,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",b4213,1
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",b4213,1
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",b4213,1
SARCOX,Sarcosine oxidase,b1059,1
MN6PP,Mannose 6-phosphate phosphatase,b3697 or b0822 or b1727 or b3826,1 or 1 or 1 or 1 
3KGK,3-keto-L-gulonate kinase,b3580,2
F6PP,D-fructose 6-phosphate phosphatase,b2293 or b3697 or b0822 or b2690 or b3826,1 or 1 or 1 or 1 or 1 
GDPMNH,GDP-mannose mannosyl hydrolase,b2051,2
FACOAL60t2pp,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1805 or b1701,2 or 1 
IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",b4265,1
ILEabcpp,L-isoleucine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,1 and 1 and 1 and 1 and 1 
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",b3265 and b3266 and b3035,6 and 3 and 3 
INSt2pp,Inosine transport in via proton symport (periplasm),b2406 or b2964 or b2393,1 or 1 or 1 
LYXt2pp,L-Lyxose transport via proton symport (periplasm),b3907,1
GDPDPK,GDP diphosphokinase,b2784 or b3650,1 or 1 
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1
